"id","idcircu","idlabel","electores","participacion","mesascircuito","pJXC","pFDT","pFIT","pLib","pjxccircu","pfdtcircu","plibcircu","pfitcircu","zdifjxc","zdiffdt","zdiflib","zdiffit","atipicas","atipicajxc","atipicafdt","atipicalib","atipicafit"
"0100100001000011X","0100100001","CABA",350,55.71,29,23.56,36.13,13.61,25.13,37.17,32.63,16.27,9.79,-3.62001966833098,1.3431488061708,2.39554157439325,2.31265031324952,1,1,0,0,0
"0100100006000122X","0100100006","CABA",343,67.93,45,61.9,16.02,2.6,17.75,68.15,7.48,20.28,2.47,-1.60668875422301,3.51511470298092,-0.838008478220597,,1,0,1,0,0
"0100100012000315X","0100100012","CABA",341,62.76,31,28.91,41.71,8.06,15.17,42.59,27.88,17.13,8.53,-3.27204775633595,3.60701063708467,-0.828057549549762,-0.255232863763319,1,1,1,0,0
"0100100012000325X","0100100012","CABA",341,60.7,31,37.86,29.13,14.08,15.53,42.59,27.88,17.13,8.53,-1.13134399762201,0.326013253532598,-0.675965346571234,3.01391998699239,1,0,0,0,1
"0100100015000386X","0100100015","CABA",336,64.88,25,37.04,17.59,8.8,31.02,36.59,32.72,16.82,9.13,0.160112418722324,-3.20841665691533,3.45038568469836,-0.153458070781261,1,0,1,1,0
"0100100016000411X","0100100016","CABA",339,66.96,24,46.9,27.43,13.27,9.29,38.34,31.79,16.66,9.24,2.71586207843576,-1.81633091138274,-3.00478347201811,1.75573244939392,1,0,0,1,0
"0100200024000704X","0100200024","CABA",349,69.34,37,74.27,7.88,3.73,12.45,63,12.04,18.4,4.11,3.09575961439303,-1.60671767571885,-1.71395832434184,-0.267088642388806,1,1,0,0,0
"0100200025000737X","0100200025","CABA",343,74.93,37,76.86,7.84,2.75,9.8,65.97,10.5,18.16,3.49,3.05235275034401,-1.06611603196109,-2.58421716129078,-0.614465226951159,1,1,0,0,0
"0100200029000922X","0100200029","CABA",346,71.1,34,48.98,20,13.06,15.92,54.09,19.3,15.14,7.62,-1.44718423982904,0.227075838104516,0.366872092562467,3.12657535119862,1,0,0,0,1
"0100300035001111X","0100300035","CABA",348,69.83,36,52.52,23.11,7.56,13.45,39.94,28.65,17.94,9.54,3.12388684710679,-1.61160780779729,-1.58682430672088,-0.92066699327429,1,1,0,0,0
"0100300041001306X","0100300041","CABA",348,75.57,52,39.77,40.15,10.04,7.34,38.89,31.12,16.69,9.11,0.218616977087026,2.44506075206967,-3.35002059900555,0.51371674282051,1,0,0,1,0
"0100400047001529X","0100400047","CABA",345,60.29,49,14.98,65.22,5.8,12.08,21.76,52.02,16.09,6.89,-2.26733101005063,3.25058190200998,-1.46365649798808,-0.582320058749825,1,0,1,0,0
"0100400050001656X","0100400050","CABA",348,74.14,40,3.52,6.25,17.97,48.05,47.39,24.08,16.7,7.6,-5.25980469531339,-3.86208941018163,5.49723691864176,3.79524843284544,1,1,1,1,1
"0100400051001657X","0100400051","CABA",347,79.83,28,44.36,26.18,7.27,2.55,47.38,24.57,15.76,7.08,-0.776753313180475,0.522840634785128,-3.03519847042716,0.119204377369936,1,0,0,1,0
"0100400057001896X","0100400057","CABA",347,74.64,54,39.53,30.62,8.53,2.33,38.42,30.93,18.42,7.84,0.32649249430033,-0.100059102334268,-4.53795240400747,0.393207391393012,1,0,0,1,0
"0100500058001947X","0100500058","CABA",347,79.83,41,39.42,24.09,8.39,25.91,38.44,31.15,16.94,9.14,0.272356995036502,-2.05796976558236,3.52211150695158,-0.370335266033491,1,0,0,1,0
"0100500061002070X","0100500061","CABA",346,76.3,43,46.01,24.33,14.83,7.98,45.8,25.35,15.48,9.18,0.0561649900998884,-0.313639893078869,-2.52746572052292,3.67251083097434,1,0,0,0,1
"0100500063002129X","0100500063","CABA",348,74.71,57,44.31,25.49,10.2,4.71,44.39,26.42,15.65,9.09,-0.0236133618095987,-0.282353366335504,-3.81591344671999,0.6630145295482,1,0,0,1,0
"0100500064002209X","0100500064","CABA",345,70.72,63,55.08,19.49,8.9,13.98,43.65,27.71,14.52,9.67,3.00603160856397,-2.48430423463978,-0.210742359630679,-0.404566667170415,1,1,0,0,0
"0100500065002251X","0100500065","CABA",343,66.47,40,56.5,23.32,6.28,11.21,44.02,26.4,15.92,9.22,3.02271828339761,-0.888259433915944,-1.63016836715497,-1.50008090232532,1,1,0,0,0
"0100600069002482X","0100600069","CABA",346,80.35,83,48.36,16.36,5.45,24.73,52.15,21.04,15.24,7.55,-1.00159070877039,-1.91325200852545,3.23406679600921,-1.31324692291489,1,0,0,1,0
"0100600071002620X","0100600071","CABA",348,77.01,88,51.88,24.81,12.41,7.89,51.25,22.13,15.02,7.38,0.185604282773187,0.828237857758924,-2.78507782941952,3.19430502185547,1,0,0,0,1
"0100600071002622X","0100600071","CABA",348,78.74,88,40.74,30.74,6.67,14.44,51.25,22.13,15.02,7.38,-3.096350812613,2.66086864003893,-0.226556120766244,-0.450885997120752,1,1,0,0,0
"0100600071002655X","0100600071","CABA",348,76.72,88,42.26,32.83,5.28,15.47,51.25,22.13,15.02,7.38,-2.64854365417611,3.30677055150018,0.1757763005945,-1.33360647035715,1,0,1,0,0
"0100600072002680X","0100600072","CABA",347,74.64,39,37.55,37.15,7.51,13.44,41.7,27.19,15.83,10.12,-1.5301388493262,3.33814315204741,-1.04208196835205,-1.21118490413101,1,0,1,0,0
"0100600074002812X","0100600074","CABA",349,80.8,68,49.1,20.07,13.62,13.98,52.97,20.1,15.42,7.45,-1.23912443310619,-0.0116556230624121,-0.637850723628634,3.40892460399873,1,0,0,0,1
"0100700077002916X","0100700077","CABA",345,76.52,38,37.64,24.71,6.84,26.62,39.19,30.39,17.49,8.27,-0.418396318913239,-1.66355534282697,3.10200013149291,-0.645417634155693,1,0,0,1,0
"0100700078002963X","0100700078","CABA",340,65.88,32,41.89,25.23,1.8,26.58,39.5,30.37,18.49,7.29,0.577971824502974,-1.26890677112044,2.85974912967629,-3.20692954257385,1,0,0,0,1
"0100700081003091X","0100700081","CABA",346,75.14,36,54.26,23.26,8.14,1.94,49.66,22.76,15.51,7.86,1.00081455374321,0.149113936944653,-3.74338093616544,0.153253393470726,1,0,0,1,0
"0100700083003180X","0100700083","CABA",345,74.2,60,63.64,14.62,4.35,15.42,52.43,20.54,16.66,6.76,3.16010587985145,-2.18006745333741,-0.477898529793186,-1.58450466605686,1,1,0,0,0
"0100700084003228X","0100700084","CABA",349,76.22,32,52.85,23.95,11.03,9.13,42.3,26.73,18.03,8.32,2.77133066181765,-0.81695642801325,-3.34046244087428,1.338942870665,1,0,0,1,0
"0100700086003257X","0100700086","CABA",349,69.91,87,13.98,38.98,10.59,19.92,29.02,38.02,21.43,7.89,-3.1891895744647,0.23044161296012,-0.379260827900036,1.37426909801508,1,1,0,0,0
"0100700086003270X","0100700086","CABA",349,63.9,87,21.97,31.84,6.28,36.77,29.02,38.02,21.43,7.89,-1.49493261303033,-1.48346788343079,3.85288814568647,-0.819471573260842,1,0,0,1,0
"0100700086003323X","0100700086","CABA",348,61.49,87,44.29,30,7.62,17.14,29.02,38.02,21.43,7.89,3.23796042566994,-1.92514764160435,-1.07750261701401,-0.137426909801508,1,1,0,0,0
"0100800087003422X","0100800087","CABA",349,65.33,91,28.57,36.61,13.84,17.86,28.45,42.47,17.75,7.75,0.0310528473161446,-1.29111398795109,,3.17856050386343,1,0,0,0,1
"0100800089003537X","0100800089","CABA",350,47.43,136,61.59,12.8,22.56,,35.25,33.79,19.92,7.48,5.41034178508426,-4.59913618754481,,7.06613586596955,1,1,1,,1
"0100800090003637X","0100800090","CABA",348,69.54,136,48.33,27.08,5.83,17.5,33.51,37.4,18.23,7.14,3.34921329592968,-2.02011060480018,-0.231549966073916,-0.755305501521017,1,1,0,0,0
"0100800090003642X","0100800090","CABA",348,72.13,136,40.16,32.13,2.81,3.61,33.51,37.4,18.23,7.14,1.50285211996845,-1.03158748907916,-4.63734315616527,-2.49654413861527,1,0,0,1,0
"0100900092003783X","0100900092","CABA",349,59.31,37,48.54,3.4,13.11,33.01,40.52,27.5,19.33,8.57,2.08625741877876,-4.40532917114513,3.53151107700781,2.04126051829395,1,0,1,1,0
"0100900093003824X","0100900093","CABA",347,75.22,24,32.42,42.58,7.03,15.62,37.15,32.21,18.81,7.19,-1.69854470299631,3.06344390024636,-1.46798325631456,-0.0956519393196601,1,0,1,0,0
"0100900096003961X","0100900096","CABA",342,78.07,35,35.34,27.82,5.26,28.2,37.9,30.28,19.37,7.95,-0.622166663581238,-0.675674988639321,3.09445478756478,-1.20224967486513,1,0,0,1,0
"0100900097003963X","0100900097","CABA",343,72.3,35,22.36,46.75,6.91,18.29,36.29,34.08,17.29,8.24,-3.12853982101953,1.90665647598896,0.290788367471468,-0.258391282233119,1,1,0,0,0
"0100900097003969X","0100900097","CABA",343,56.56,35,44.57,7.61,34.78,5.43,36.29,34.08,17.29,8.24,1.85960586633465,-3.98336202994694,-3.44875003821161,5.15616889508794,1,0,1,1,1
"0100900098004029X","0100900098","CABA",349,60.17,63,50,37.02,7.21,2.4,43.52,27.19,18.77,6.37,1.87837342302821,3.22625677591392,-5.02712768549364,0.567789737627652,1,0,1,1,0
"0100900100004110X","0100900100","CABA",350,66.86,39,45.37,33.48,7.05,6.17,45.15,25.25,18.26,6.85,0.0671731503507942,2.32408588097517,-4.42481786175432,0.124323924334226,1,0,0,1,0
"0100900101004150X","0100900101","CABA",347,74.06,50,55.78,16.73,7.17,15.54,45.17,25.75,17.03,7.32,3.0867351633611,-2.73144246864241,-0.478591081838825,-0.0836370665787609,1,1,0,0,0
"0100900101004168X","0100900101","CABA",346,73.99,50,56.13,20.16,7.11,13.04,45.17,25.75,17.03,7.32,3.18855960324578,-1.69276756094358,-1.28159625270933,-0.117091893210265,1,1,0,0,0
"0101000105004301X","0101000105","CABA",347,79.25,54,43.87,28.62,4.83,4.46,45.78,24.56,17.13,7.72,-0.493321730548719,1.38421233832704,-4.20303484179694,-1.5307857049801,1,0,0,1,0
