"","x"
"JXC",9735745
"FDT",7801865
"FIT",1222887
"Liberales",1102362
"HPC",490235
"FAP",220422
"MPN",111177
"FRCS",229225
"JSRN",138545
"VCV",409059
"SFUE",15315
"CCARI",91185
"SER",46500
"IDC",43291
"CST",28793
"VALORES",257568
"FI",48884
"CI",34964
"VERDE",90671
"FE",24217
"EVC",74727
"FAC",10045
"LVC",22773
"CP",29340
"FR",38763
"OBRERO",3873
"LIBSUR",48219
"SOC",39372
"FREP",101118
"DO",37478
"FPL",47655
"SFUT",40708
"AYL",55965
"MAS",27371
"CF",35283
"FAT",37325
"SP",81421
"MPF",2560
"RU",6464
"FED",37857
"CPB",5930
"UNIDOS",3432
"PUSO",6302
"UPF",16341
"TU",3600
"UCR",13683
"PSF",28060
"PYC",2386
"PODEMOS",31699
"SIPRS",85806
"FELICIDAD",28688
"UPS",71795
"POLOB",19672
